What are the three phases of the UCD Sprint process?;Discovery, Design, Reality Check.
What is the main goal of the Discovery phase in UCD Sprint?;To understand users, their context, and their needs before designing solutions.
What is the main goal of the Design phase in UCD Sprint?;To create tasks, flows, and prototypes that address user needs and can be tested with users.
What is the main goal of the Reality Check phase in UCD Sprint?;To evaluate designs with users, interpret the results, and decide concrete next steps.
What is the “initial map” in UCD Sprint?;A diagram linking user groups on the left, a long-term goal on the right, and 5–15 steps in between.
What do arrows in the initial map represent?;The sequence or flow of steps from the starting situation to the long-term user goal.
Why does UCD Sprint start with mapping instead of jumping straight into design?;To ensure the team has a shared understanding of the problem space and user journeys before designing solutions.
What kind of information goes on the left side of the initial map?;User groups or actors involved.
What kind of information goes on the right side of the initial map?;The long-term goal or outcome users want to achieve.
What is the key deliverable of the Discovery phase?;A clear understanding of user groups, their goals, context, and selected UX goals/targets for design.

What is User Group Analysis used for?;To describe and understand each user group’s context of use across six factors.
Name the six factors in User Group Analysis.;WHO, WHY, WHAT, WHERE, WHEN, HOW important.
In User Group Analysis, what does WHO describe?;Background of the group: age, gender, abilities, education, computer skills, number of users.
In User Group Analysis, what does WHY describe?;The user group’s main reasons and motivations for using the system.
In User Group Analysis, what does WHAT describe?;The technical equipment the user group will use, such as phone, tablet, or computer.
In User Group Analysis, what does WHERE describe?;The physical and social environment where the system will be used.
In User Group Analysis, what does WHEN describe?;How often and how long the group uses the system.
In User Group Analysis, what does HOW important describe?;How important this user group is to the system’s success (primary/secondary).
What standard concept is very close to User Group Analysis?;Context of use from ISO 9241-210.
What does “context of use” mean in ISO 9241-210?;The combination of users, goals, tasks, resources, and environments in which a system is used.

What is the primary purpose of interviews in UCD?;To understand users’ needs, tasks, experiences, and motivations in depth.
Are interviews mainly about evaluation or understanding?;They are mainly about understanding, not about evaluating a prototype.
What type of questions are typically asked in user interviews?;Open-ended questions about what users do, how they do it, and why.
Name the five high-level steps of running an interview.;Introduction, Warm-up, Main session, Cool-off, Closing.
What is done in the introduction phase of an interview?;Introduce yourself, explain goals, get consent, and explain confidentiality.
Why is a warm-up phase useful in interviews?;It helps the interviewee relax and feel comfortable before more detailed questions.
What is the “main session” in an interview?;The part where most important questions about tasks, problems, and needs are asked.
What is the purpose of the cool-off period in an interview?;To ask easy, non-threatening final questions and reduce any tension.
What is the purpose of the closing phase in an interview?;To thank the user, answer questions, and clearly end the session.
Why is it recommended to plan interviews in advance?;To ensure you ask relevant questions and gather comparable data across participants.

What are UX goals?;Statements describing the desired user experience, such as enjoyable, efficient, or trustworthy.
How are UX goals derived in UCD Sprint?;From insights gained through interviews, user group analysis, and mapping.
Why are UX goals important for design decisions?;They guide choices about interaction, visual design, and features toward a desired experience.
Give an example of a UX goal.;“The system should feel simple and not overwhelming for first-time users.”
In group projects, how many UX goals are typically selected?;Usually around three main UX goals.

In UCD, what is a task?;A goal-oriented instruction for the user that does not specify how to achieve it.
Give an example of a good task description.;“Find a cycling route from your home to your work tomorrow morning.”
Why should tasks avoid telling the user exactly what to click?;To let the user choose paths freely, revealing how intuitive the design is.
What is a happy path?;A visual flow showing each screen and user action for one task when everything goes well.
What must be shown on a happy path?;All screens, the user’s actions, arrows between screens, and system reactions.
Why are happy paths created before detailed design?;To clarify and agree on task flow before investing in detailed visuals.
In happy paths, do we show errors or only successes?;Only successes—no errors are included.
How are user actions typically marked on a happy path?;With highlights or marks on controls, plus arrows indicating transitions.
What is the relationship between tasks, happy paths, and prototypes?;Tasks drive happy paths, and happy paths guide prototype screens and links.
